username,review,nilai,sentimen
BIMA PRATAMA S,Memudahkan untuk mengecek jadwal kereta dan tidak perlu antri ke loket . Terimakasih kau,5,positif
akbar descka,"Di aplikasi saya metode pembayaran hanya untuk kartu debit mandiri, tolong diperbaiki",2,negatif
mariyo Mariyo,Top,5,positif
Febyanto Sanjaya,Ayo Naik Kereta ~,5,positif
adul roy,8R F,4,netral
A A N G Yt,"sering banget aplikasi tidak merespon. berat bnget kah ini apk nya? main pubg aja lancar. sudah sering pesan di sini, tapi tidak mendapatkan poin. jangan dzalim dong.",1,negatif
Adang Mursito,Sangat membantu tugas kondektur,4,positif
Adang Mursito,Sangat membantu tugas kondektur,4,positif
santoso santoso,Bagus,4,positif
Fathur akagami,Membantu dan mempermudah para penumpang,5,positif
Fia Nandasari,tidak bisa dibuka. halaman putih terus yg muncul,3,negatif
To Ji,Gak bisa buka,2,negatif
Muhamad Jajuli,👍👍👍👍👍,5,netral
Ib Az,"kenapa mau masuk kok gak bisa, pdahal email & password sy catat ndak keliru, coba reset juga bisa konfirm password diemail, apa sering trouble.. tlong diperbaiki",2,negatif
Dede Sutisna,"Pesan tiket, pembatalan, ubah Jadwal hanya di aplikasi....",5,positif
ALiL TK-A,Mantab,5,positif
Setyo,"Sangat membantu, jadi mudah untuk pemesanan tiket",5,positif
Nur Wendah,Bagus,4,positif
BWP,Mantappppp,5,positif
Fauzan Choiri,Good2,4,positif
Sukarno,"Sebenarnya aplikasi ini sangat baik tapi ada beberapa hal yang mengganggu sekali! 1.Untuk kereta api lokal saat pemesanan tiket pemilik akun harus masuk daftar penumpang, saya yang ingin memesankan tiket orang tua terpaksa ikut memesan tiket meski tidak ikut naik kereta, maaf ini bisa merugikan orang lain dan tolong di perbaiki 2. Untuk pembayaran yg masuk daftar menunggu tidak bisa saya lanjutkan ke pembayaran padahal ingin saya lanjutkan bayar sehingga terpaksa menunggu pembatalan sistem",3,negatif
Miftahul Farhan,"gabisa daftar akun, gabisa di bayar, aplikasi banyak bug ketika pembayaran.",1,negatif
Kokak Ola,"Nge bug. Nggak bisa pilih jumlah penumpang. Kenapa saya tdk bisa pesan kereta lokal untuk saudara, tanpa saya ikut terdaftar sebagai penumpang? Lalu knp tdk bisa pilih jumlah penumpang? Hanya bisa 1 penumpang saja?",2,negatif
Enggo Rahmatullah,gas,5,positif
Azis Fahrozi,"Gagal terues daftar,,,,???",1,negatif
Danu Darminto,Belum bekerja sama dengan bank bca ya,2,negatif
TRISNANI,Bagus sih...tapi pembayaran kok cuma pakai debit Mandiri??? Tidak bisa yg lain ??,2,negatif
Priyatno Prie,"Saya sudah daftar dan sudah berhasil verifikasi email, tapi kenapa saat login selalu muncul kata INVALID TOKEN.",2,negatif
Miftah Surur,metode pembayaran tolong diperbanyak.susah bangeeeet........,2,negatif
Sri Suyati,Sudah download tp metode pembayaran cm bisa debit mandiri..mau tambah metode pembayarn tidak bisa diklik,4,negatif
Ali Mustakim,"Tolong dong buat kerjasama dengan indomaret atau alfa buat pembayaran tanpa aplikasi lagi biar cepet nggak ribet download"" banyak",2,negatif
lisa T.H,"How I can booking if always time out and can not chose the date, please fix it",4,negatif
Salesa,Sejauh ini lumayan bagus,4,positif
Andri Jana,Kenapa saya tidak bisa lagi memesan tiket secara online padahal no hp/alamat email sdh terdaftar.,3,negatif
Ahmad Anwar Nuris,aplikasi yang baru lebih berat dan loadingnya lebih lama dari yang sebelumnya. pembatasan waktu saat reservasi membuat pemesanan tiket jadi lbh sulit... bbrpakli pesan gagal krn waktunya sudah keburu habis...,2,negatif
Nadia Fitriana,Cara mesan tiketnya gimana sih??? Gak jelas pemberitahuannya,4,negatif
Heru Prasetyo,Baik,4,positif
Nurhasani,Awalnya sempat kesel sama ini Aplikasi. Tapi setelah di pelajaran. Dicoba2 lagi meski gagal. Akhirny bisa lagi login. Sekarang ud senang krna uda bisa menggunakan aplikasi ini lagi. Krn ini sangat memudahkan setiap perjalanan ku menggunakan KAI.,4,positif
Nurhasani,Awalnya sempat kesel sama ini Aplikasi. Tapi setelah di pelajaran. Dicoba2 lagi meski gagal. Akhirny bisa lagi login. Sekarang ud senang krna uda bisa menggunakan aplikasi ini lagi. Krn ini sangat memudahkan setiap perjalanan ku menggunakan KAI.,4,positif
bs 501 chanel,Bagus,4,positif
Yusfa Amalia,"Apakah apk KAI access sedang eror? Krn punya saya tdk terdftr dan sulit login, padahal email dan pass sudah benar, mohon bantuannya 🙏",4,negatif
Artati Abdi,"Bagus tak pala pesan tiket k stasiun. Dudk rumh buka hp, dh selesai",5,positif
Yusfa Amalia,"Apakah apk KAI access sedang eror? Krn punya saya tdk terdftr dan sulit login, padahal email dan pass sudah benar, mohon bantuannya 🙏",4,negatif
Sutama Tamasu,"Tampilan baru bagus, tapi tolong masukan pembayaran Genose di bukti pembayaran (di tab tiket), sempet bikin bingung transfer bank lebih gede dari yang ada di bukti pembayaran.",4,positif
Sutama Tamasu,"Tampilan baru bagus, tapi tolong masukan pembayaran Genose di bukti pembayaran (di tab tiket), sempet bikin bingung transfer bank lebih gede dari yang ada di bukti pembayaran.",4,positif
Aep Saepuloh,Sering kali tidak bisa memasukkan stasiun asal dan tujuan. Sering kali pula ada pemberitahuan bahwa Anda sedang offline padahal berselancar internet yang lain lancar2 saja. Pun sering kali ada pberitahuan bahwa jaringan busy,2,negatif
Icaaa,"Lebih mudahhhh pake inii 😍😍 gausa jauh"" ke stasiun✨",5,positif
A. Wdd,Sangat bagus,4,positif
A. Wdd,Sangat bagus,4,positif
Aep Saepuloh,Sering kali tidak bisa memasukkan stasiun asal dan tujuan. Sering kali pula ada pemberitahuan bahwa Anda sedang offline padahal berselancar internet yang lain lancar2 saja. Pun sering kali ada pberitahuan bahwa jaringan busy,2,negatif
Aep Saepuloh,Sering kali tidak bisa memasukkan stasiun asal dan tujuan. Sering kali pula ada pemberitahuan bahwa Anda sedang offline padahal berselancar internet yang lain lancar2 saja. Pun sering kali ada pberitahuan bahwa jaringan busy,2,negatif
fur ghofur,Good,4,positif
yanzmotovlog,Bagus..,4,positif
BakouL Tokek,Mind kenapa pemesanan tiket tgl 18-30 Mei tidak tersedia?,4,negatif
Dewi Natalia,Kok susah ya proses downloadnya,2,negatif
Lilian 091,Kenapa sya tdk bsa merubah no telp pd akun sya?,4,negatif
Harisubagio2615 subagio,Oke,4,positif
Diki Ahmad Sodiq,Ok banget,5,positif
Beryl Zachely,Ok siap,4,positif
Lilian 091,Kenapa sya tdk bsa merubah no telp pd akun sya?,4,negatif
Avn Music,kalau dah byr trus masa jam pemesan tiket hbs gmn carany padhal berangkat masih lusa,2,negatif
Ayu Puri Arinta,"Saya dulu sudah pernah pakai kemudia sy hapus app, trus ini sy donwload lagi karena lupa dulu pakai no dan email apa sy berniat buat akun lagi. Namun tidak bisa mohon pencerahan",2,negatif
lyaacsri istiany,Kenapa saya ga bisa daftar akun yaa?,2,negatif
Ali Imron,Ok,4,positif
wawan gunawan,Ok,4,positif
Riko_25 Jakarta,Agak ribet make apli kau access,4,negatif
Puji Kasih Santika,Setelah di upgrade kok email dan kata sandi saya malah gak bisa masuk. Udah coba berkali-kali. Sampe mau ganti kata sandi aja gak bisa-bisa,2,negatif
Ahmad Fahrudin,Sangat membantu,4,positif
Fadilla Dwi,"Awal nya senang aja makenya, tapi lama lama ribet. Tiket nya udah dibeli eh ga bisa keluar, trus pas mau login balik malah gagal terus, jujur kayak nya aplikasi nya perlu diperbaiki deh dan ditingkatkan lagi. Sayang banget aplikasi yg harus nya dibikin untuk memudahkan pengguna KAI malah dibikin ribet kayak gini",2,negatif
Rudi Purwono,Kereta api on time schedule,4,positif
ulin nuha,"Baik lumayan, dua saja ya. Saya pernah beli tiket dg pembayaran linkaja, tiket tidak muncul tapi saldo link aja berkurang, mau komplain diputer2 suruh kontak callcenter link aja dll. Daripada kelamaan dan keburu mau pergi akhirnya ga jadi pakai KRETA API 🙏",2,negatif
ari pratomo,Nice,5,positif
areef muhammad,"Klik bayar langsung keluar ""Kedaluarsa""..",4,negatif
Agus Boy,Ok,4,positif
Dadang Sulistrianto,Downloadnya susah bener,1,negatif
mona audyna,KECEWA,4,negatif
Muhamad civil,"Kenapa tidak bisa ganti nomor hp, mohon di perbaiki.",2,negatif
jaja andika,"bagi saya pribadi, apl ini sangat membantu dan mudah digunakan. respon dr pihak devlr jg bagus...",4,positif
Wisnu Deni Arif,Mantul,4,positif
Yeyen Yazid,Mantab...,4,positif
anggraeni anggi,"Aku login ko susah amat, nunggu verifikasi akun. Tolong di tindak lanjuti, sudah 2 minggu, login cuma muter2 saja. Ga bisa masuk",2,negatif
anggraeni anggi,"Aku login ko susah amat, nunggu verifikasi akun. Tolong di tindak lanjuti, sudah 2 minggu, login cuma muter2 saja. Ga bisa masuk",2,negatif
Rukma Suswato,Baru instal,4,netral
Bumi Online,Kereta jember bandung tanpa oper..,4,netral
yanto pramudito,Cepat praktis,4,positif
Nur Kholifah,ok,4,positif
Slamet widodo,good,5,positif
ian sugalang,Sangat membantu buat pemesanan tiket kreta,4,positif
Supri yono,Aplikasi mudah di gunakan,5,positif
imam siswanto,bisa pesan.tiket di rumah. sayangnya klo mau bayar kenapa Linkaja nya lemoooot.......,4,negatif
Fadhil zaidan ahnaf,tidak bisa pesan jau jauh hari lagi giliran pesan deket waktu suadah habis semua tiketnya,2,negatif
Alfian Ferdi,"kok gak bisa daftar iy min,knp ya",2,negatif
Romli Solihin,Saya ga bisa login Udah ganti password 3x tetap susah login email udh benar!!! Akhirnya saya bisa login🙏 terimakasih,4,negatif
Agus Surahmin,Mantap,5,positif
agus doang,Mantap KAI sukses selalu,4,positif
Linea Oktantia92,Mantap bosqueee,5,positif
Meigi Kurnia,Mantapp,5,positif
Aufar Rifandi,"Mantap, pesen tiket jadi lebih mudah dan gak harus antri lagi, sukses selalu PT.KAI",5,positif
Diana Cyntia,"This application is very good, it makes easy for users to check departure schedules, reservations, change schedules, cancellations, thank you KAI Access, hopefully it will get better in the future❤️",5,positif
Nur Santo,Aplikasinya sangat mantab,5,positif
Surat mini,Baguuss bangeettt..,5,positif
agung sudarmono,Mantab. lebih mudah membeli tiket dan paperless.,5,positif
Fifin Chamidah,Kenapa pemesanan di batasi 15 x perhari ya.... Kalo eror2 trus sampek 15x mana dapat tiket kitanya.,4,negatif
Sunny Sunshine,"Kenapa dibagian pbayaran ga bisa diklik.... Aduhh.. Trus kenapa metode pembayaran hanya debit aja pilihannya, udah gitu cuma mandiri lagi.",1,negatif
Manhoo Mel 06,Susah masuknya Ke kai access,2,negatif
Herlina Linar,Kalo mau naik kereta tinggal klik aja gak usah antri,4,positif
Ikbal maulana Fadilah,Sangat membantu,4,positif
Yudi Andrian,nice,5,positif
Yudistira Aldi,Good,4,positif
Ahmad Gunawan,Cs nya gak bisa di akces.metode bayar masih cuman pake debit mandiri doang. Mau ganti jadwal juga gagal.,2,negatif
Rony Kus,Mempermudah kita dalam pembelian tiket .,5,positif
RaiN23,Mantappppp,5,positif
V Link,Kai mantap,5,positif
Eka Rusadi,Aplikasinya tidak bisa digunakan buat daftar juga tidak bisa Udah masukin nomor udah klik lanjutkan tp ga bisa2,2,negatif
Sukadi Achmad,Is the best,4,positif
Antoni Bta,Jempol,4,positif
Rohman Sulaeman,Sangat puas,5,positif
Dede Rahmat,Lebih mudah naik keretaapi ..,5,positif
siti nurhayati,Kai Access ok,5,positif
Nur Chasana,mau tanya dong kak ini kenapa aplikasi g bisa d buka lagi hrs masukin email lagi pas uda d masukin email ttp g bisa hrs verifikasi ulang lagi tp tetep g bisa tolong penjelasannya kak,2,negatif
Herry Deanry,"Kai acces sangat membantu,tingkatkan lagi kualitasnya....mantappp",5,positif
Asep Somantri,Aplikasi nya bagus mudah di akses dan memudahkan dalam pembelian tiket,5,positif
F.M. Roemiyanto,"Beli tiket mudah, berangkat dan sampai tujuan tepat waktu dan nyaman di perjalanan. Semangat KAI!!",4,positif
Karunia Indah Pribadi,Log out sendiri mau login ga bisa Udah yang keseribu kalinya gini aja terus 😊,2,negatif
A. is mail,Lebih mudah dan refund nya on schedule,4,positif
A. is mail,Lebih mudah dan refund nya on schedule,4,positif
Widodo Aly AL Klateny,"Aplikasi bagus, smoga kadang2 ada diskonnya",4,positif
Fajar Ria Sholihah,👍,4,netral
Fajar Ria Sholihah,👍,4,netral
Ganesha Perdana,Aplikasi tiba tiba keluar saat mau memilih tempat duduk. Dan itu terjadi berulang kali.,4,negatif
Teguh Santoso,Tingkatkan terus kinerja dan pelayanan,4,positif
fidz 06,"Pesen makan aja 2 jam , dah imsak baru dateng",2,negatif
Danuk Daryoto,Sangat membantu,4,positif
Aan Aja,Good,4,positif
haryadi1228,"Kalau sdh 60 tahun keatas ada potongan, bila pesan tiket melalui online bgmn caranya, terimakasih",4,netral
alpokat 99,Updatee terus 🙃,2,negatif
heru kasino,Sangat bermanfaat,5,positif
As_ sari,"Kenapa mau daftar akun kok gk bisa yaa, dipencet lanjutkan gaada respon samsek",2,negatif
Herry P,kereta api makin bagus pelayanan sudah bagus lancar nyaman dan aman bintang,5,positif
Zalifatun Ni'mah,Sekarang sudah lebih baik.. good,4,positif
Faizal Noviansyah,Mantap pesan tiket jadi lebih mudah,5,positif
Diki Noris,"Aplikasi nya keren, bisa mempermudah kita memesan tiket",5,positif
Andi Bhakita,salam saya sudah daftar email saya dan sandi saya betul kenapa setiap saya mau daftar kan tidak bisa?? dan alasan nya sandi nya salah,2,negatif
Anna Affandy,Ini kenapa sy mau log in pakai email yg sama pass yg sama tp tulisannya invalid token . mohon bantuannya ya . biasanya aman² aja kok skrg gabisa,2,negatif
Al Fatih,Sangat membantu proses pembelian tiket,4,positif
Alvaro Simamora,👍,5,netral
slow nub gaming,Sangat membantu untuk lihat jadwal ka,4,positif
Rudi PutraDinata,Pemesanan tiket lebih mudah,5,positif
Choirul Anam,Pesan tiket jadi mudah dan gak ribet,4,positif
Choirul Anam,Pesan tiket jadi mudah dan gak ribet,4,positif
Darman DFC,sy terbantu sebetulnya pakai apk ini..tp sekarang mohon di perbaiki lagi..terimakasih,4,positif
Uje Darman,SANGAT MEMBANTU... TRIMAKASIH,5,positif
Aris Rizwan,Loading lama banget padahal 4G,2,negatif
Hendro Inu,Mimin kok g bisa ngubah nomer hp yg di akun ya,4,negatif
Yusuf nur rohman,Tolong tambah menu untuk mengecek jdwal krl yogya solo dong min...,4,negatif
Satria Buana,"Sangat membantu sekali, gak perlu repot-repot ngantri, cukup duduk mainkan jari, udah bisa dapat tiket yg dicari.,🤗😁😁😁🥰🥰🥰",5,positif
Rahmat Keren,Ok,5,positif
Yusuf nur rohman,Tolong tambah menu untuk mengecek jdwal krl yogya solo dong min...,4,negatif
opik hidayat,Mantap,5,positif
Mariani Malang,Ok,4,positif
Mariani Malang,Ok,4,positif
Izun Sholikah,Kok punay saya ngak bisa buar reservasi ka lokal y min jadwal tidak tersedia terus,2,negatif
Aldio Erlangga,Wokyh,4,netral
Aldio Erlangga,Wokyh,4,netral
Yanto Sujatmoko,Mangtapp..... Top lah...,5,positif
ifa greenhouse,"Dear KAI team, aku mo nginfoin bugs program nih, jadi klo pesen tiket lokal >2 misal itu detail penumpang paling atas g bisa di edit, default akun yg punya, defaultnya sih bener hanya kan g mesti ikut yang pesenin, bisa buat sodara. G bisa hapus juga, itu bikin yang pesen harus beli double buat dia juga. Semoga bisa dicek, makasih 🙏",4,negatif
ifa greenhouse,"Dear KAI team, aku mo nginfoin bugs program nih, jadi klo pesen tiket lokal >2 misal itu detail penumpang paling atas g bisa di edit, default akun yg punya, defaultnya sih bener hanya kan g mesti ikut yang pesenin, bisa buat sodara. G bisa hapus juga, itu bikin yang pesen harus beli double buat dia juga. Semoga bisa dicek, makasih 🙏",4,negatif
ifa greenhouse,"Dear KAI team, aku mo nginfoin bugs program nih, jadi klo pesen tiket lokal >2 misal itu detail penumpang paling atas g bisa di edit, default akun yg punya, defaultnya sih bener hanya kan g mesti ikut yang pesenin, bisa buat sodara. G bisa hapus juga, itu bikin yang pesen harus beli double buat dia juga. Semoga bisa dicek, makasih 🙏",4,negatif
Fira Nafsiyah,"Tolong d tambahin lagi opsi pembayarannya.. seperti ATM, byr di Indomaret atau Alfamart agar mempermudah.. lha Link Aja pnyaku aja udah ke blokir.. udah telp call center nya ttep gk ada perubahan.. saya mohon dgn sangat untuk d tambah opsi pembayarannya.. terima kasih",2,negatif
Ima Edh,"Kenapa gabisa menambahkan tiket:"")",3,negatif
irfan nurhasan,"Saran dong, di tambah aplikasi pengaduan atau perihal pelayanan pelanggan di aplikasi nanti biar masuk call center trus d teruskan ke petugas yang piket d kereta tersebut, karena setiap ganti kereta ganti waktu beda2 nomer WA petugas.",4,negatif
irfan nurhasan,"Saran dong, di tambah aplikasi pengaduan atau perihal pelayanan pelanggan di aplikasi nanti biar masuk call center trus d teruskan ke petugas yang piket d kereta tersebut, karena setiap ganti kereta ganti waktu beda2 nomer WA petugas.",4,negatif
Iin Insiah,"Setelah diupgrade ternyata lebih lambat , tolong dikondisikan aplikasi nya",2,negatif
Nabila Febriana,Kenapa pas udah bayar lewat shopee pay tapi tiket saya belum tersedia ya🥲,2,negatif
Dafa Febrian,"Mohon dong, saya sudah pesan tiket, tp saat pembayaran sudah saya lakukan tiket malah tidak ada, sudah 6 kali saya coba bayar, tp tetap saja tidak ada dan uangnya pun sudah terpakai semua, jadi saya rugi 30rb. Mohon sekali bantuannya",2,negatif
Elva Farihah,Bagus,4,positif
Yuni Parwanti,Sangat membantu cari informasi tike,4,positif
Aizz Nazafarin,daftar akun sulit bgt masuk'y padahal email n no hp juga sudah bnar n biasa d'pake,2,negatif
Nita Astanti,"Dulu sy mudah menggunakan aplikasi ini, tpi sekarang mau dipake malah g bisa, sdah registrasi ulang forbiden terus, nyoba berkali2 tetep g berhasil, gimana sih?",2,negatif
Vina Ainun,Harus registrasi akun itu gimana yah sudah masukan no hp dan email tapi tetap tidak bisa???,2,negatif
Ezcha Khasanah,Pilihan jml penumpang dan usia ko ga bisa ya min??,2,negatif
Jihan Azizah,Lemot,2,negatif
zainudin rachmad,"Tiap update yang terbaru, ada aja dah",4,negatif
tugiyanto yanto,"Aplikasi lemot,loading lama,untuk menulis penumpang susah,tanggal lahir aja ga bisa di isi",4,negatif
2019 Putra,RIBETTTTTT,4,negatif
Pagia Ayu Pratama,Dimohon Untuk KAI tiket Lokall bisa ada pembatalan,2,negatif
Dhiya malika Arfa,Oke,4,positif
Vivi anto,Membantu mempermudah perjalanan saya,4,positif
IrfansyahNur Adianto,Prepare buat milih bangkunya selalu time out kenapa ya min,4,negatif
Kapten Rakaruan,Mau ngelengkapin profil aja tulisannya something went wrong terusss... Gimana bisa beli tiketnya,2,negatif
Kapten Rakaruan,Mau ngelengkapin profil aja tulisannya something went wrong terusss... Gimana bisa beli tiketnya,2,negatif
Mochamad hadi Darmawan,Program aplikasi perlu di tingkatkan fitur nya...mengenai pemberhentian kereta api dimana saja,4,negatif
Mochamad hadi Darmawan,Program aplikasi perlu di tingkatkan fitur nya...mengenai pemberhentian kereta api dimana saja,4,negatif
Wagiman Soliah,Berilah pengumuman untuk setiap pemberhentian jadi tidak keterlambatan bagi penumpang,4,negatif
Budi Setioko,"Parah bangett sekarang ni apk enggk bisa login, udah tau bnyak complain tpi ttep aja gak ada tidakan sma respon, tolong min segera ditindaklanjuti...",4,negatif
Haris Kunaifi,"Tiket KA yang telah dipakai kok masih muncul AKTIF ya. Sehingga tiket AKTIF yang terbaru munculnya paling bawah. Ini menyusahkan sbb harus geser layar HP ke bawah. Mestinya kayak dahulu, tiket yang telah dipakai tidak muncul di AKTIF, tapi pindah ke RIWAYAT.",4,negatif
Haris Kunaifi,"Tiket KA yang telah dipakai kok masih muncul AKTIF ya. Sehingga tiket AKTIF yang terbaru munculnya paling bawah. Ini menyusahkan sbb harus geser layar HP ke bawah. Mestinya kayak dahulu, tiket yang telah dipakai tidak muncul di AKTIF, tapi pindah ke RIWAYAT.",4,negatif
Annisa Febrianti,Timeout terus padahal buat app lain bisa apa dong solusinya saya ini butuh urgent,4,negatif
Warsito Wrs,Lebih bermanfaat dan membantu sekali,5,positif
Annisa Febrianti,Timeout terus padahal buat app lain bisa apa dong solusinya saya ini butuh urgent,4,negatif
risqi ilham zulfahmi,"Stasiun gresik sudah ada, ini penumpang 1 nya tidak bisa dirubah, harus nama yg punya akun, tolong diperbaiki,",2,negatif
Teguh Ld,Okelah klo begitu..,4,positif
Imam Zumari,Alkhamdulillaah 👍👍👍👍 buat mudik keluarga,5,positif
Ade Lugas P,Terbaik Gaes !,5,positif
Migih Dwi Handoko,Tidak bisa mengganti nomer telepon dan metode pembayaran,2,negatif
Heri Susanto,"Susah di buka...habis di update,, pesan tiket susah,, ""something went wrong"" terus... perjalanan tidak tersedia terus...padahal pakai yg lain bisa",4,negatif
bertha erlinda sujati,Good,4,positif
Yonathan Betty,Mantap mobilitas tinggi kalo pake KAI Access,5,positif
Heri Susanto,"Susah di buka...habis di update,, pesan tiket susah,, ""something went wrong"" terus... perjalanan tidak tersedia terus...padahal pakai yg lain bisa",4,negatif
Muhamad Machfur,"Sy masih bingung menu my trips di kai access itu disebelah mana, mungkin ada panduannya? Terima kasih",4,negatif
Muhamad Machfur,"Sy masih bingung menu my trips di kai access itu disebelah mana, mungkin ada panduannya? Terima kasih",4,negatif
Mahendra Kontak,Tolong kembalikan lagi fasilitas auto delete untuk pemesanan tiket kereta yang sudah lewat tanggalnya. Terima kasih,4,negatif
bobo boi,"Halooo ini kenapa aplikasinya sering error ya, selalu cari jadwal sering ga muncul jadwal. Terus stasiun ka lokal selalu ilang muncul ilang muncul terus. Tolong diperbaiki..",4,negatif
bobo boi,"Halooo ini kenapa aplikasinya sering error ya, selalu cari jadwal sering ga muncul jadwal. Terus stasiun ka lokal selalu ilang muncul ilang muncul terus. Tolong diperbaiki..",4,negatif
Yah Manto,Sangat baik,5,positif
Cahyo Adhi N,"Lebih mudah versi yang dulu, terlebih dalam sistem pembayaran tiket.",2,negatif
Afwan Setiawan,Gak bisa daftr n log in,1,negatif
Adelina Elsa,Dikit-dikit minta diupdate.,2,negatif
Anis Humaira,"IPhone 12 promax, aamiin",4,netral
Faridhotul Khasanah,"Sulit nya daftar lagi, karena ganti hp tapi nmr sama, lupa akun, email juga sandi, gak bisa di ulang daftar nya. Gimana pihak KAI, harus nya mudah tp ini malah mempersulit, bagaimana bisa tau asal mula akun saya, bisakah saya memakai nya, sementara saya sangat butuh aplikasi ini, mohon dimudahkan..",2,negatif
Faridhotul Khasanah,"Sulit nya daftar lagi, karena ganti hp tapi nmr sama, lupa akun, email juga sandi, gak bisa di ulang daftar nya. Gimana pihak KAI, harus nya mudah tp ini malah mempersulit, bagaimana bisa tau asal mula akun saya, bisakah saya memakai nya, sementara saya sangat butuh aplikasi ini, mohon dimudahkan..",2,negatif
rista yulaika,kai access setelah di update akunnya hilang. Ketika masuk dengan akun yg dulu alamat email tidak ditemukan. Daftar akun baru lagi pakai email yg dulu juga tidak bisa. Mohon solusinya kak,4,negatif
rista yulaika,kai access setelah di update akunnya hilang. Ketika masuk dengan akun yg dulu alamat email tidak ditemukan. Daftar akun baru lagi pakai email yg dulu juga tidak bisa. Mohon solusinya kak,4,negatif
Sophiah NurAzizah,"Maaf kak, kenapa ya KAI ACCESS itu sering banget minta diUpdate padahal baru aja satu minggu yang lalu aku update, mohon penjelasannya🙏",4,negatif
Ronald Tukan,"mau beli tiket KA lokal knp tidak bisa? Setelah mengisi data penumpang habis itu klik lanjutkan loading lama setelah itu malah tidak bisa padahal sinyal udh 4G aplikasi juga sudah diperbarui. Mohon bantuan nya ya, ini penting banget soalnya",2,negatif
Sabrina Viddia,"TIBA TIBA LOG OUT SENDIRI TERUS PAS MASUK AKUNNYA SALAH, PADAHAL UDH BENER BGT BGT BGT. GIMANA NIHHHH????",2,negatif
Eva Irawati,Sangat menyenangkan dan mudah,4,positif
Rahmatika Prasasti,"Hallo KAI Access saya ingin bertanya mengenai pembayaran tiket kereta yang saya pesan, saya telah membayar nya lewat QIRS di OVO dan status berhasil namun saat saya cek di KAI Access tiket saya tidak muncul padahal sudah sukses di bayar, saya harus bagaimana",2,negatif
Faruq Nur Habibi,Berapa lama uang pembatalan kereta kembali? Sudah 3 x 24jam uang belum masuk ke rek!,4,negatif
Manijo Manijo,Dengan adanya aplikasi KAI Acces semua akan menjadi mudah.,5,positif
Wahit Nabila,Di HP saya tetiba aplikasinya menghilang...pas di download lagi gak bisa ... Berulang2 bahkan...tetap gak bisa..kenapa ya?,2,negatif
Frendy Errik Yulianto,Sangat amat membantu dalam mencari tiket kereta api,5,positif
A' SUMALI,Lemot,4,negatif
[FADHIL] RF DAOP 7,"Kak saya mau tanya???ini kan saya sudah pesan tiket K.A lokal 1 minggu yg lalu tapi kok hari ini saya suruh update KAI ACCES nya nanti tiketnya hilang gak??? NB:mohon segera di jawab soal nya kereta saya berangkat 1,5 jam lagi",4,negatif
[FADHIL] RF DAOP 7,"Kak saya mau tanya???ini kan saya sudah pesan tiket K.A lokal 1 minggu yg lalu tapi kok hari ini saya suruh update KAI ACCES nya nanti tiketnya hilang gak??? NB:mohon segera di jawab soal nya kereta saya berangkat 1,5 jam lagi",4,negatif
nadiya putri,Dikit² minta update,4,positif
Krisnu Agus,Kurang suka,4,negatif
Tegar Kusuma,Mohon maaf nih kok abis diupdate malah gabisa login padahal email sama password nya dah bener. Pleasr tolong benerin.,2,negatif
Diki kurniawan,"Tolong dong untuk pembayarannya jangan cuman di link aja, ditingkatkan lagi. Gopay, dana, bank, alfa. untuk memudahkan.",2,negatif
Diki kurniawan,"Tolong dong untuk pembayarannya jangan cuman di link aja, ditingkatkan lagi. Gopay, dana, bank, alfa. untuk memudahkan.",2,negatif
Pudin Jr,"Saya udah boking, Transaksi udah berhasil tapi di kai acces tidak muncul, gimana kebijakan nya?",2,negatif
Rina Wardani67,Sangat membantu bagi pekerja yg misal mau antri tiket waktu nya mepet. Jdi harus beli kai biar g tergesa gesa dan antri duluan. Thx kai,4,positif
Rina Wardani67,Sangat membantu bagi pekerja yg misal mau antri tiket waktu nya mepet. Jdi harus beli kai biar g tergesa gesa dan antri duluan. Thx kai,4,positif
Udin Saleh,Baik,4,positif
Emil Santoso,Sangat bagus,4,positif
Yatiman,Mantep,4,positif
Denny Kurniawan,Mantaap,4,positif
Fathan Fakhrusy Pryabowo,"Server sering sibuk saat ingin boarding pass, padahal sinyal bagus. Mohon diperbaiki.",4,negatif
gita mawarni,"Apl Kai acces ini sangat efisiensi,apalagi untuk generagi sekarang yang no ribet""..cuma untuk penumpang yang sudah tua tapi bisa menggunakan hp ini sangat ribet,..",4,positif
gita mawarni,"Apl Kai acces ini sangat efisiensi,apalagi untuk generagi sekarang yang no ribet""..cuma untuk penumpang yang sudah tua tapi bisa menggunakan hp ini sangat ribet,..",4,positif
Lukman Hakim Muhammad,good,4,positif
Fadhilah Ardiyans,Aplikasi yang mudah untuk melakukan pemesanan tiket kereta api,4,positif
Lita Puspitasari,Ini kenapa saya tiba2 logout sendiri yaa?? Pas mau masuk lagi ngga bisa2 email yg anda masukkan tidak di kenali padahal saya yakin sandi saya juga tidak salah dn nomor telphone yg saya masukkn juga benar.,2,negatif
Anggun Wu,"kenapa cma pakai e wallet, pilihannya jg cm satu bikin ribet aja, saya kecewa sekali saya sudah pesan tiket untuk tanggal 7 agustus dan sudah bayar pembayaran pun sukses tapi hari ini saya cek lagi tiket saya hilang ternyata tiket saya expired, saya bingung kenapa expired tapi pembayaran sukses seharusnya ada refund dong dan ini gak ada bukan masalah nominalnya tapi kepuasan yang dari pelanggan seharusnya diutamakan.",4,negatif
